material,temperature_c,dwell_min,length_factor,width_factor,sleeve_factor
Wool,110.0,16.0,0.9261,0.9451,0.9269
Wool,110.0,17.0,0.9259,0.9442,0.9269
Wool,110.0,18.0,0.9249,0.9426,0.9242
Wool,110.0,19.0,0.9236,0.9449,0.9237
Wool,110.0,20.0,0.9233,0.9431,0.9241
Wool,120.0,1.0,0.9438,0.9576,0.9453
Wool,120.0,2.0,0.9427,0.9572,0.9413
Wool,120.0,3.0,0.9394,0.9543,0.9406
Wool,120.0,4.0,0.9383,0.953,0.939
Wool,120.0,5.0,0.9373,0.9518,0.9373
Wool,120.0,6.0,0.9346,0.9524,0.9364
Wool,120.0,7.0,0.9352,0.9496,0.9336
Wool,120.0,8.0,0.9339,0.9497,0.9332
Wool,120.0,9.0,0.9319,0.9482,0.9326
Wool,120.0,10.0,0.9311,0.9473,0.9308
Wool,120.0,11.0,0.9283,0.9465,0.9285
Wool,120.0,12.0,0.9283,0.9453,0.9282
Wool,120.0,13.0,0.9282,0.9462,0.9291
Wool,120.0,14.0,0.9257,0.9446,0.9267
Wool,120.0,15.0,0.9246,0.9435,0.927
Wool,120.0,16.0,0.9254,0.9446,0.9251
Wool,120.0,17.0,0.9235,0.9421,0.9255
Wool,120.0,18.0,0.9242,0.9421,0.924
Wool,120.0,19.0,0.9237,0.9415,0.9224
Wool,120.0,20.0,0.9226,0.9433,0.9217
Wool,130.0,1.0,0.9426,0.9547,0.9421
Wool,130.0,2.0,0.9408,0.9543,0.9388
Wool,130.0,3.0,0.939,0.954,0.9368
Wool,130.0,4.0,0.9355,0.9526,0.9364
Wool,130.0,5.0,0.9336,0.95,0.9332
Wool,130.0,6.0,0.9333,0.9493,0.9338
Wool,130.0,7.0,0.933,0.9504,0.9324
Wool,130.0,8.0,0.9316,0.9493,0.9322
Wool,130.0,9.0,0.9308,0.9465,0.9303
Wool,130.0,10.0,0.9292,0.9465,0.9289
Wool,130.0,11.0,0.9276,0.9462,0.9289
Wool,130.0,12.0,0.9263,0.9465,0.9265
Wool,130.0,13.0,0.9246,0.9454,0.9268
Wool,130.0,14.0,0.9259,0.9436,0.9241
Wool,130.0,15.0,0.9245,0.9427,0.9241
Wool,130.0,16.0,0.9244,0.9433,0.9241
Wool,130.0,17.0,0.9222,0.9415,0.9244
Wool,130.0,18.0,0.9241,0.9421,0.9215
Wool,130.0,19.0,0.9231,0.9408,0.923
Wool,130.0,20.0,0.9214,0.942,0.9213
Wool,140.0,1.0,0.9373,0.9534,0.9377
Wool,140.0,2.0,0.9371,0.9531,0.9351
Wool,140.0,3.0,0.9343,0.9518,0.9336
Wool,140.0,4.0,0.9351,0.95,0.9325
Wool,140.0,5.0,0.933,0.948,0.9318
Wool,140.0,6.0,0.9319,0.9491,0.93
Wool,140.0,7.0,0.9301,0.946,0.9304
Wool,140.0,8.0,0.9293,0.9457,0.9287
Wool,140.0,9.0,0.9267,0.9448,0.9287
Wool,140.0,10.0,0.9285,0.9448,0.926
Wool,140.0,11.0,0.9264,0.945,0.9266
Wool,140.0,12.0,0.9266,0.9446,0.9249
Wool,140.0,13.0,0.9256,0.943,0.9235
Wool,140.0,14.0,0.9242,0.942,0.9242
Wool,140.0,15.0,0.925,0.9442,0.9249
Wool,140.0,16.0,0.9233,0.9419,0.9236
Wool,140.0,17.0,0.9234,0.9405,0.9213
Wool,140.0,18.0,0.9208,0.9424,0.9221
Wool,140.0,19.0,0.9214,0.9419,0.9204
Wool,140.0,20.0,0.9206,0.9404,0.9213
Wool,150.0,1.0,0.9359,0.9515,0.9362
Wool,150.0,2.0,0.933,0.9513,0.935
Wool,150.0,3.0,0.9316,0.9495,0.9327
Wool,150.0,4.0,0.9323,0.9494,0.9304
Wool,150.0,5.0,0.9294,0.9492,0.9305
Wool,150.0,6.0,0.9283,0.9459,0.9301
Wool,150.0,7.0,0.9291,0.9448,0.9292
Wool,150.0,8.0,0.928,0.9458,0.9261
Wool,150.0,9.0,0.9265,0.9451,0.9261
Wool,150.0,10.0,0.9259,0.945,0.9249
Wool,150.0,11.0,0.9261,0.943,0.9249
Wool,150.0,12.0,0.9256,0.9443,0.9245
Wool,150.0,13.0,0.9235,0.9423,0.9235
Wool,150.0,14.0,0.9219,0.942,0.9232
Wool,150.0,15.0,0.9235,0.9434,0.924
Wool,150.0,16.0,0.9215,0.9427,0.9216
Wool,150.0,17.0,0.9208,0.9415,0.9211
Wool,150.0,18.0,0.9216,0.941,0.9221
Wool,150.0,19.0,0.9217,0.9399,0.9195
Wool,150.0,20.0,0.9201,0.9415,0.9217
Wool,160.0,1.0,0.9341,0.9512,0.9343
Wool,160.0,2.0,0.9314,0.9491,0.9309
Wool,160.0,3.0,0.9297,0.9495,0.9321
Wool,160.0,4.0,0.9294,0.9488,0.9285
Wool,160.0,5.0,0.9297,0.9453,0.9289
Wool,160.0,6.0,0.9269,0.9451,0.9272
Wool,160.0,7.0,0.9275,0.9446,0.9261
Wool,160.0,8.0,0.9268,0.9448,0.925
Wool,160.0,9.0,0.925,0.944,0.9266
Wool,160.0,10.0,0.9238,0.9423,0.9235
Wool,160.0,11.0,0.9245,0.9415,0.9249
Wool,160.0,12.0,0.9225,0.942,0.9233
Wool,160.0,13.0,0.9242,0.9407,0.9225
Wool,160.0,14.0,0.9215,0.9416,0.9232
Wool,160.0,15.0,0.9228,0.9428,0.9207
Wool,160.0,16.0,0.9218,0.9415,0.9216
Wool,160.0,17.0,0.9195,0.9394,0.9222
Wool,160.0,18.0,0.9218,0.9415,0.9201
Wool,160.0,19.0,0.9193,0.9404,0.9213
Wool,160.0,20.0,0.9205,0.939,0.9191
Wool,170.0,1.0,0.9328,0.9473,0.932
Wool,170.0,2.0,0.9301,0.9479,0.9291
Wool,170.0,3.0,0.9283,0.9481,0.9293
Wool,170.0,4.0,0.9291,0.9476,0.929
Wool,170.0,5.0,0.9272,0.9467,0.9272
Wool,170.0,6.0,0.9258,0.9439,0.9275
Wool,170.0,7.0,0.927,0.9442,0.9263
Wool,170.0,8.0,0.9236,0.9441,0.9241
Wool,170.0,9.0,0.9228,0.9446,0.9233
Wool,170.0,10.0,0.9231,0.9436,0.9245
Wool,170.0,11.0,0.9238,0.9428,0.9242
Wool,170.0,12.0,0.9001,0.9293,0.9048
Wool,170.0,13.0,0.9219,0.9402,0.9211
Wool,170.0,14.0,0.92,0.9424,0.9206
Wool,170.0,15.0,0.9223,0.9418,0.9205
Wool,170.0,16.0,0.9022,0.928,0.897
Wool,170.0,17.0,0.9192,0.9397,0.9193
Wool,170.0,18.0,0.9209,0.9414,0.9205
Wool,170.0,19.0,0.9206,0.9413,0.9209
Wool,170.0,20.0,0.919,0.9394,0.9206
Wool,180.0,1.0,0.9313,0.9488,0.9296
Wool,180.0,2.0,0.9274,0.9469,0.93
Wool,180.0,3.0,0.9279,0.9471,0.9267
Wool,180.0,4.0,0.9282,0.9441,0.928
Wool,180.0,5.0,0.9264,0.9456,0.9258
Wool,180.0,6.0,0.9238,0.9431,0.924
Wool,180.0,7.0,0.9095,0.9318,0.8987
Wool,180.0,8.0,0.9248,0.9433,0.9243
Wool,180.0,9.0,0.9242,0.9417,0.9226
Wool,180.0,10.0,0.9216,0.9416,0.9233
Wool,180.0,11.0,0.9209,0.9418,0.9224
Wool,180.0,12.0,0.9229,0.9402,0.9228
Wool,180.0,13.0,0.9203,0.94,0.9218
Wool,180.0,14.0,0.9201,0.9399,0.92
Wool,180.0,15.0,0.9215,0.9393,0.92
Wool,180.0,16.0,0.9206,0.9404,0.9192
Wool,180.0,17.0,0.908,0.9332,0.9103
Wool,180.0,18.0,0.9201,0.9391,0.9212
Wool,180.0,19.0,0.9193,0.9399,0.9192
Wool,180.0,20.0,0.9208,0.9405,0.9188
Wool,190.0,1.0,0.9298,0.9466,0.9285
Wool,190.0,2.0,0.9271,0.9456,0.9285
Wool,190.0,3.0,0.9264,0.9436,0.9276
Wool,190.0,4.0,0.9268,0.9451,0.9261
Wool,190.0,5.0,0.9256,0.9426,0.9262
Wool,190.0,6.0,0.923,0.9428,0.9255
Wool,190.0,7.0,0.9238,0.9436,0.9227
Wool,190.0,8.0,0.9215,0.9418,0.9225
Wool,190.0,9.0,0.9222,0.9428,0.9232
Wool,190.0,10.0,0.9216,0.9411,0.9208
Wool,190.0,11.0,0.9227,0.9423,0.9215
Wool,190.0,12.0,0.9211,0.9402,0.9207
Wool,190.0,13.0,0.9209,0.939,0.9199
Wool,190.0,14.0,0.9208,0.9388,0.9214
Wool,190.0,15.0,0.9207,0.9413,0.9212
Wool,190.0,16.0,0.8962,0.9322,0.9075
Wool,190.0,17.0,0.9198,0.941,0.9193
Wool,190.0,18.0,0.9191,0.9391,0.921
Wool,190.0,19.0,0.9211,0.941,0.92
Wool,190.0,20.0,0.92,0.9389,0.9211
Wool,200.0,1.0,0.9261,0.9463,0.928
Wool,200.0,2.0,0.9274,0.9452,0.9254
Wool,200.0,3.0,0.9257,0.9428,0.9238
Wool,200.0,4.0,0.9235,0.9445,0.9248
Wool,200.0,5.0,0.925,0.9436,0.9244
Wool,200.0,6.0,0.9221,0.9426,0.9246
Wool,200.0,7.0,0.9231,0.9412,0.9223
Wool,200.0,8.0,0.8995,0.9299,0.9126
Wool,200.0,9.0,0.921,0.9426,0.922
Wool,200.0,10.0,0.9207,0.9401,0.921
Wool,200.0,11.0,0.9204,0.9394,0.9208
Wool,200.0,12.0,0.92,0.9407,0.9207
Wool,200.0,13.0,0.9187,0.9415,0.9205
Wool,200.0,14.0,0.9206,0.9412,0.9194
Wool,200.0,15.0,0.9212,0.9409,0.9209
Wool,200.0,16.0,0.9205,0.9407,0.9205
Wool,200.0,17.0,0.9198,0.9397,0.9186
Wool,200.0,18.0,0.9191,0.9407,0.9192
Wool,200.0,19.0,0.9212,0.9405,0.92
Wool,200.0,20.0,0.9211,0.939,0.9188
Cotton,30.0,1.0,0.9993,1.0009,1.0008
Cotton,30.0,2.0,0.997,0.9968,0.9952
Cotton,30.0,3.0,0.9938,0.9942,0.9939
Cotton,30.0,4.0,0.9891,0.9918,0.9909
Cotton,30.0,5.0,0.988,0.9904,0.9882
Cotton,30.0,6.0,0.9852,0.988,0.9851
Cotton,30.0,7.0,0.9808,0.9847,0.9824
Cotton,30.0,8.0,0.978,0.9839,0.9791
Cotton,30.0,9.0,0.9764,0.9818,0.9771
Cotton,30.0,10.0,0.9742,0.9811,0.9733
Cotton,30.0,11.0,0.9707,0.9784,0.9729
Cotton,30.0,12.0,0.9709,0.9776,0.9709
Cotton,30.0,13.0,0.9686,0.9766,0.968
Cotton,30.0,14.0,0.9662,0.9735,0.9656
Cotton,30.0,15.0,0.9634,0.9731,0.9659
Cotton,30.0,16.0,0.9638,0.9728,0.9625
Cotton,30.0,17.0,0.9613,0.9702,0.9615
Cotton,30.0,18.0,0.9594,0.9713,0.9598
Cotton,30.0,19.0,0.9598,0.9696,0.9586
Cotton,30.0,20.0,0.9593,0.9679,0.9591
Cotton,40.0,1.0,0.9919,0.9959,0.9941
Cotton,40.0,2.0,0.9887,0.9928,0.9884
Cotton,40.0,3.0,0.9867,0.9888,0.986
Cotton,40.0,4.0,0.9822,0.9888,0.9828
Cotton,40.0,5.0,0.9795,0.9871,0.9813
Cotton,40.0,6.0,0.9768,0.9843,0.978
Cotton,40.0,7.0,0.976,0.9818,0.9748
Cotton,40.0,8.0,0.974,0.9796,0.9741
Cotton,40.0,9.0,0.9708,0.9789,0.9704
Cotton,40.0,10.0,0.9682,0.9777,0.9683
Cotton,40.0,11.0,0.9664,0.9748,0.9666
Cotton,40.0,12.0,0.9658,0.9734,0.9664
Cotton,40.0,13.0,0.9627,0.9731,0.9632
Cotton,40.0,14.0,0.962,0.9704,0.963
Cotton,40.0,15.0,0.962,0.9713,0.96
Cotton,40.0,16.0,0.9597,0.9704,0.9584
Cotton,40.0,17.0,0.9575,0.9702,0.9577
Cotton,40.0,18.0,0.9559,0.9668,0.9557
Cotton,40.0,19.0,0.9568,0.9664,0.9566
Cotton,40.0,20.0,0.9556,0.9648,0.9559
Cotton,50.0,1.0,0.9854,0.9894,0.9862
Cotton,50.0,2.0,0.9846,0.9864,0.9844
Cotton,50.0,3.0,0.9803,0.9869,0.9799
Cotton,50.0,4.0,0.9791,0.9844,0.9784
Cotton,50.0,5.0,0.9744,0.9822,0.9742
Cotton,50.0,6.0,0.9722,0.9797,0.9735
Cotton,50.0,7.0,0.9716,0.9773,0.9707
Cotton,50.0,8.0,0.9676,0.9773,0.97
Cotton,50.0,9.0,0.9659,0.9766,0.9659
Cotton,50.0,10.0,0.9639,0.9732,0.9647
Cotton,50.0,11.0,0.9641,0.9735,0.9638
Cotton,50.0,12.0,0.9634,0.972,0.9615
Cotton,50.0,13.0,0.9611,0.9691,0.961
Cotton,50.0,14.0,0.9586,0.9698,0.9587
Cotton,50.0,15.0,0.9579,0.9698,0.9564
Cotton,50.0,16.0,0.9555,0.9684,0.9576
Cotton,50.0,17.0,0.9541,0.9665,0.9546
Cotton,50.0,18.0,0.9529,0.9649,0.9547
Cotton,50.0,19.0,0.9524,0.9648,0.9541
Cotton,50.0,20.0,0.9533,0.964,0.9511
Cotton,60.0,1.0,0.9812,0.9844,0.9805
Cotton,60.0,2.0,0.9766,0.9823,0.9784
Cotton,60.0,3.0,0.9749,0.9817,0.9746
Cotton,60.0,4.0,0.9745,0.9794,0.9718
Cotton,60.0,5.0,0.9707,0.9783,0.9712
Cotton,60.0,6.0,0.9692,0.9772,0.9676
Cotton,60.0,7.0,0.966,0.9746,0.9678
Cotton,60.0,8.0,0.9643,0.9738,0.9656
Cotton,60.0,9.0,0.9622,0.9713,0.9639
Cotton,60.0,10.0,0.9604,0.9715,0.9607
Cotton,60.0,11.0,0.9598,0.9699,0.9609
Cotton,60.0,12.0,0.9575,0.9687,0.96
Cotton,60.0,13.0,0.9576,0.9688,0.9572
Cotton,60.0,14.0,0.9575,0.966,0.9561
Cotton,60.0,15.0,0.9536,0.9675,0.9559
Cotton,60.0,16.0,0.9538,0.9666,0.9529
Cotton,60.0,17.0,0.9535,0.9635,0.9525
Cotton,60.0,18.0,0.953,0.9639,0.9515
Cotton,60.0,19.0,0.9522,0.964,0.9502
Cotton,60.0,20.0,0.9515,0.9624,0.949
Cotton,70.0,1.0,0.9764,0.9826,0.9752
Cotton,70.0,2.0,0.9744,0.9806,0.9746
Cotton,70.0,3.0,0.9701,0.9786,0.9704
Cotton,70.0,4.0,0.9693,0.9781,0.9693
Cotton,70.0,5.0,0.9668,0.9757,0.9663
Cotton,70.0,6.0,0.9645,0.9736,0.9651
Cotton,70.0,7.0,0.9629,0.9731,0.9641
Cotton,70.0,8.0,0.9625,0.972,0.9615
Cotton,70.0,9.0,0.9588,0.9704,0.959
Cotton,70.0,10.0,0.9574,0.9682,0.9577
Cotton,70.0,11.0,0.9577,0.9672,0.9579
Cotton,70.0,12.0,0.9568,0.9657,0.9569
Cotton,70.0,13.0,0.9557,0.9667,0.9548
Cotton,70.0,14.0,0.9544,0.966,0.9529
Cotton,70.0,15.0,0.9538,0.964,0.9539
Cotton,70.0,16.0,0.9509,0.9638,0.9501
Cotton,70.0,17.0,0.951,0.9638,0.9517
Cotton,70.0,18.0,0.951,0.9629,0.9502
Cotton,70.0,19.0,0.9491,0.962,0.9498
Cotton,70.0,20.0,0.9476,0.9602,0.9488
Cotton,80.0,1.0,0.9704,0.9786,0.971
Cotton,80.0,2.0,0.9693,0.9757,0.9694
Cotton,80.0,3.0,0.9665,0.9759,0.966
Cotton,80.0,4.0,0.9645,0.9724,0.9663
Cotton,80.0,5.0,0.9637,0.9724,0.9634
Cotton,80.0,6.0,0.9623,0.9706,0.9607
Cotton,80.0,7.0,0.9586,0.9699,0.9596
Cotton,80.0,8.0,0.9572,0.968,0.9575
Cotton,80.0,9.0,0.9566,0.9669,0.9578
Cotton,80.0,10.0,0.9572,0.9678,0.9571
Cotton,80.0,11.0,0.955,0.9657,0.9557
Cotton,80.0,12.0,0.9537,0.9664,0.9539
Cotton,80.0,13.0,0.9535,0.9656,0.952
Cotton,80.0,14.0,0.9507,0.9647,0.9523
Cotton,80.0,15.0,0.9513,0.9626,0.949
Cotton,80.0,16.0,0.9486,0.9622,0.9509
Cotton,80.0,17.0,0.9501,0.9617,0.9472
Cotton,80.0,18.0,0.9485,0.9618,0.9491
Cotton,80.0,19.0,0.9461,0.9606,0.9479
Cotton,80.0,20.0,0.9474,0.9604,0.9479
Cotton,90.0,1.0,0.9664,0.9755,0.967
Cotton,90.0,2.0,0.9641,0.9749,0.9656
Cotton,90.0,3.0,0.9627,0.9719,0.9632
Cotton,90.0,4.0,0.9615,0.9698,0.9622
Cotton,90.0,5.0,0.9605,0.9704,0.9608
Cotton,90.0,6.0,0.9591,0.9676,0.9598
Cotton,90.0,7.0,0.9579,0.9672,0.9558
Cotton,90.0,8.0,0.9555,0.9665,0.9562
Cotton,90.0,9.0,0.9546,0.9648,0.9542
Cotton,90.0,10.0,0.9535,0.9664,0.9523
Cotton,90.0,11.0,0.9535,0.9651,0.9529
Cotton,90.0,12.0,0.9526,0.9636,0.9514
Cotton,90.0,13.0,0.9488,0.963,0.9504
Cotton,90.0,14.0,0.9488,0.9628,0.9506
Cotton,90.0,15.0,0.9483,0.9619,0.9486
Cotton,90.0,16.0,0.947,0.9619,0.9469
Cotton,90.0,17.0,0.948,0.9614,0.9482
Cotton,90.0,18.0,0.9479,0.9597,0.9466
Cotton,90.0,19.0,0.9445,0.9582,0.9465
Cotton,90.0,20.0,0.9448,0.9578,0.9457
Cotton,100.0,1.0,0.9644,0.9742,0.9635
Cotton,100.0,2.0,0.9625,0.971,0.9624
Cotton,100.0,3.0,0.96,0.9698,0.9602
Cotton,100.0,4.0,0.958,0.9683,0.9595
Cotton,100.0,5.0,0.9583,0.9669,0.958
Cotton,100.0,6.0,0.9558,0.9665,0.9553
Cotton,100.0,7.0,0.9536,0.9663,0.9556
Cotton,100.0,8.0,0.9523,0.9652,0.9527
Cotton,100.0,9.0,0.951,0.9629,0.9508
Cotton,100.0,10.0,0.9498,0.9637,0.951
Cotton,100.0,11.0,0.9515,0.9629,0.9504
Cotton,100.0,12.0,0.9493,0.9629,0.949
Cotton,100.0,13.0,0.9494,0.9621,0.9479
Cotton,100.0,14.0,0.9478,0.9605,0.9478
Cotton,100.0,15.0,0.9481,0.9612,0.9474
Cotton,100.0,16.0,0.9464,0.9596,0.9454
Cotton,100.0,17.0,0.9462,0.9607,0.9464
Cotton,100.0,18.0,0.9447,0.958,0.9451
Cotton,100.0,19.0,0.9442,0.9571,0.9437
Cotton,100.0,20.0,0.9437,0.958,0.944
Cotton,110.0,1.0,0.9624,0.9702,0.9616
Cotton,110.0,2.0,0.9602,0.9704,0.9585
Cotton,110.0,3.0,0.9567,0.9687,0.9573
Cotton,110.0,4.0,0.9572,0.9672,0.9559
Cotton,110.0,5.0,0.9549,0.9657,0.956
Cotton,110.0,6.0,0.9536,0.9655,0.9536
Cotton,110.0,7.0,0.9515,0.9631,0.9529
Cotton,110.0,8.0,0.9504,0.9631,0.952
Cotton,110.0,9.0,0.9496,0.9637,0.951
Cotton,110.0,10.0,0.9494,0.9612,0.9484
Cotton,110.0,11.0,0.9471,0.9601,0.9488
Cotton,110.0,12.0,0.9482,0.9594,0.948
Cotton,110.0,13.0,0.9463,0.9593,0.9484
Cotton,110.0,14.0,0.9465,0.9583,0.947
Cotton,110.0,15.0,0.945,0.958,0.9455
Cotton,110.0,16.0,0.9462,0.9578,0.9461
Cotton,110.0,17.0,0.9454,0.9594,0.9436
Cotton,110.0,18.0,0.9433,0.9587,0.9436
Cotton,110.0,19.0,0.9438,0.9569,0.9432
Cotton,110.0,20.0,0.9422,0.9584,0.9431
Cotton,120.0,1.0,0.9572,0.9675,0.9582
Cotton,120.0,2.0,0.9553,0.9684,0.9567
Cotton,120.0,3.0,0.9552,0.9654,0.9556
Cotton,120.0,4.0,0.9552,0.9663,0.9544
Cotton,120.0,5.0,0.9524,0.9632,0.9528
Cotton,120.0,6.0,0.9525,0.9646,0.9513
Cotton,120.0,7.0,0.9513,0.9637,0.9512
Cotton,120.0,8.0,0.9485,0.9621,0.9488
Cotton,120.0,9.0,0.9481,0.9627,0.9484
Cotton,120.0,10.0,0.9485,0.9618,0.9481
Cotton,120.0,11.0,0.9456,0.9608,0.9477
Cotton,120.0,12.0,0.946,0.9588,0.9468
Cotton,120.0,13.0,0.9468,0.9591,0.9453
Cotton,120.0,14.0,0.9457,0.9596,0.9449
Cotton,120.0,15.0,0.9445,0.958,0.9447
Cotton,120.0,16.0,0.9434,0.9576,0.9446
Cotton,120.0,17.0,0.9446,0.9581,0.9443
Cotton,120.0,18.0,0.9437,0.9563,0.9422
Cotton,120.0,19.0,0.9422,0.9572,0.9433
Cotton,120.0,20.0,0.9413,0.9581,0.9408
Cotton,130.0,1.0,0.9548,0.9682,0.9557
Cotton,130.0,2.0,0.9536,0.9646,0.9531
Cotton,130.0,3.0,0.9546,0.9652,0.9532
Cotton,130.0,4.0,0.9523,0.9653,0.9529
Cotton,130.0,5.0,0.9507,0.9623,0.9513
Cotton,130.0,6.0,0.9492,0.961,0.9502
Cotton,130.0,7.0,0.9481,0.9607,0.9475
Cotton,130.0,8.0,0.9466,0.96,0.9495
Cotton,130.0,9.0,0.9468,0.9601,0.9475
Cotton,130.0,10.0,0.9472,0.9586,0.9453
Cotton,130.0,11.0,0.9468,0.9606,0.9454
Cotton,130.0,12.0,0.9445,0.9592,0.9443
Cotton,130.0,13.0,0.9448,0.9577,0.9443
Cotton,130.0,14.0,0.9428,0.9574,0.9454
Cotton,130.0,15.0,0.9449,0.9588,0.9445
Cotton,130.0,16.0,0.9437,0.9587,0.9433
Cotton,130.0,17.0,0.9434,0.9584,0.9425
Cotton,130.0,18.0,0.9425,0.9553,0.9411
Cotton,130.0,19.0,0.9423,0.9579,0.9424
Cotton,130.0,20.0,0.941,0.9575,0.9416
Cotton,140.0,1.0,0.9547,0.9645,0.9525
Cotton,140.0,2.0,0.9534,0.9631,0.9538
Cotton,140.0,3.0,0.9509,0.9647,0.9506
Cotton,140.0,4.0,0.9508,0.9639,0.9502
Cotton,140.0,5.0,0.9499,0.963,0.9484
Cotton,140.0,6.0,0.9476,0.9616,0.9473
Cotton,140.0,7.0,0.9487,0.9611,0.948
Cotton,140.0,8.0,0.9475,0.9602,0.9453
Cotton,140.0,9.0,0.9463,0.9595,0.9474
Cotton,140.0,10.0,0.9464,0.959,0.9468
Cotton,140.0,11.0,0.9441,0.9577,0.9449
Cotton,140.0,12.0,0.945,0.958,0.9443
Cotton,140.0,13.0,0.9433,0.9583,0.9427
Cotton,140.0,14.0,0.9437,0.9572,0.9437
Cotton,140.0,15.0,0.9418,0.9573,0.9422
Cotton,140.0,16.0,0.9416,0.9569,0.9415
Cotton,140.0,17.0,0.9423,0.956,0.9419
Cotton,140.0,18.0,0.9422,0.9558,0.9426
Cotton,140.0,19.0,0.9403,0.9548,0.9415
Cotton,140.0,20.0,0.9398,0.955,0.9402
Cotton,150.0,1.0,0.9515,0.9628,0.9532
Cotton,150.0,2.0,0.9516,0.9621,0.9507
Cotton,150.0,3.0,0.9507,0.9623,0.9503
Cotton,150.0,4.0,0.9481,0.9617,0.9489
Cotton,150.0,5.0,0.9484,0.9595,0.9487
Cotton,150.0,6.0,0.9474,0.9601,0.9465
Cotton,150.0,7.0,0.9464,0.961,0.9455
Cotton,150.0,8.0,0.9444,0.9602,0.9469
Cotton,150.0,9.0,0.9451,0.9591,0.9439
Cotton,150.0,10.0,0.9439,0.9587,0.9443
Cotton,150.0,11.0,0.9449,0.9575,0.9431
Cotton,150.0,12.0,0.9422,0.9564,0.9442
Cotton,150.0,13.0,0.9432,0.9573,0.9438
Cotton,150.0,14.0,0.9414,0.956,0.9418
Cotton,150.0,15.0,0.9413,0.9569,0.9413
Cotton,150.0,16.0,0.9427,0.9558,0.9419
Cotton,150.0,17.0,0.941,0.955,0.9399
Cotton,150.0,18.0,0.9415,0.9571,0.9416
Cotton,150.0,19.0,0.9397,0.9543,0.9394
Cotton,150.0,20.0,0.9406,0.9539,0.9401
Cotton,160.0,1.0,0.9489,0.9619,0.9492
Cotton,160.0,2.0,0.9503,0.9613,0.9484
Cotton,160.0,3.0,0.9486,0.9601,0.9492
Cotton,160.0,4.0,0.9478,0.9616,0.9468
Cotton,160.0,5.0,0.948,0.96,0.9459
Cotton,160.0,6.0,0.9472,0.9599,0.9448
Cotton,160.0,7.0,0.9455,0.9592,0.9453
Cotton,160.0,8.0,0.9449,0.9578,0.944
Cotton,160.0,9.0,0.9448,0.9578,0.9435
Cotton,160.0,10.0,0.9428,0.956,0.9443
Cotton,160.0,11.0,0.9424,0.9571,0.9414
Cotton,160.0,12.0,0.9438,0.9568,0.941
Cotton,160.0,13.0,0.9414,0.9557,0.9406
Cotton,160.0,14.0,0.9414,0.9564,0.9414
Cotton,160.0,15.0,0.9421,0.9557,0.941
Cotton,160.0,16.0,0.9408,0.955,0.9418
Cotton,160.0,17.0,0.9417,0.9561,0.9401
Cotton,160.0,18.0,0.9414,0.9551,0.9415
Cotton,160.0,19.0,0.9396,0.9556,0.9406
Cotton,160.0,20.0,0.9404,0.9541,0.9386
Cotton,170.0,1.0,0.9488,0.9606,0.9475
Cotton,170.0,2.0,0.9484,0.9615,0.947
Cotton,170.0,3.0,0.9469,0.9597,0.9464
Cotton,170.0,4.0,0.9476,0.9595,0.947
Cotton,170.0,5.0,0.9465,0.9604,0.9441
Cotton,170.0,6.0,0.9435,0.9585,0.9438
Cotton,170.0,7.0,0.9451,0.9591,0.943
Cotton,170.0,8.0,0.9428,0.9585,0.9434
Cotton,170.0,9.0,0.9417,0.9572,0.9439
Cotton,170.0,10.0,0.9441,0.9569,0.9432
Cotton,170.0,11.0,0.9417,0.957,0.9408
Cotton,170.0,12.0,0.9419,0.9556,0.9422
Cotton,170.0,13.0,0.9426,0.9572,0.9406
Cotton,170.0,14.0,0.9415,0.9553,0.9401
Cotton,170.0,15.0,0.9397,0.9565,0.9393
Cotton,170.0,16.0,0.9414,0.9553,0.9408
Cotton,170.0,17.0,0.939,0.9542,0.939
Cotton,170.0,18.0,0.9413,0.9565,0.9404
Cotton,170.0,19.0,0.9404,0.9556,0.9409
Cotton,170.0,20.0,0.9392,0.9564,0.9409
Cotton,180.0,1.0,0.9483,0.9604,0.9465
Cotton,180.0,2.0,0.9462,0.9588,0.9478
Cotton,180.0,3.0,0.9456,0.9587,0.9464
Cotton,180.0,4.0,0.9442,0.9584,0.9458
Cotton,180.0,5.0,0.9454,0.9596,0.9446
Cotton,180.0,6.0,0.9428,0.9573,0.9431
Cotton,180.0,7.0,0.9418,0.9579,0.943
Cotton,180.0,8.0,0.9414,0.9582,0.9436
Cotton,180.0,9.0,0.943,0.9572,0.9425
Cotton,180.0,10.0,0.942,0.9565,0.9421
Cotton,180.0,11.0,0.941,0.9566,0.9404
Cotton,180.0,12.0,0.9399,0.9569,0.9401
Cotton,180.0,13.0,0.94,0.9556,0.9397
Cotton,180.0,14.0,0.9416,0.9559,0.9407
Cotton,180.0,15.0,0.9396,0.9549,0.9407
Cotton,180.0,16.0,0.9414,0.9542,0.9401
Cotton,180.0,17.0,0.9387,0.9559,0.9387
Cotton,180.0,18.0,0.9413,0.9547,0.9396
Cotton,180.0,19.0,0.941,0.9543,0.9386
Cotton,180.0,20.0,0.9394,0.9563,0.9414
Cotton,190.0,1.0,0.947,0.9598,0.9454
Cotton,190.0,2.0,0.9448,0.9595,0.9446
Cotton,190.0,3.0,0.9446,0.9574,0.9452
Cotton,190.0,4.0,0.9441,0.9586,0.9453
Cotton,190.0,5.0,0.9426,0.9574,0.9431
Cotton,190.0,6.0,0.9446,0.9571,0.9426
